Address,Telemetry,Validator Name
5FeZ9qQcknWLexEuo3nXXERcXNzmxQDgF4kG5e2foDCXvXwz,Stakin,Stakin
5GzpMhmk7o4WfJzmm5DxGTmiioTScQbeUdC2Que5ZfnH511g,Newroad Network 02,NewRoad
5DRejNyGhTZzYtnee4hzutcRhdR417D11S2wHrj1wutiysFQ,Mach5 Validators,Mach5
5GLVtMRNRPRMxL8Caxdy1uZn3ZE1gp4jLGDn6UBWBEWq41vh,Cumulo,Cumulo
5Ev16A8iWsEBFgtAxcyS8T5nDx8rZxWkg2ZywPgjup3ACSUZ,openbitlab,OpenBitLab
5F7PK9H7VjVzp5FvXDdM5n5xEFB62d6cmXW7AgQiujiJF8C6,Blockshard,Blockshard
5FRJb2VJuUAaXSB69KYNDHd4rFEK96fWQaJ8kesbe3y8hukU,CRYPTOSTAKE,CryptoStake
5DZUvVsx7wRn4MdCp4wmGiPxocRmgp5JMaHxeQ67eJB7BAqe,PathrockNetwork,Pathrock Network
5DE3bEffT39YYh2UsU51W19BwbAyZehxxqymvsni1RPAjTVd,KYVE Foundation,KYVE Foundation
5FEWETswvmp118NDj83iWpp3Kkb95xxnHVbCz2xwc3BeSdc9,Brightlystake,BrightlyStake
5FZDzspL1BdHUGbMxq4JuNSTYb3nAmynpqUoZ1MAqZeNZ6vT,Klever,Klever
5ECjuxaJPBd9dUKwTcENVprJCn2DsJ1huuVv7bfNCNdJSgJE,Coinstudio,CoinStudio
5ECe3ANZA9HaxYexsV8yRGZXhzrTs68ScoYcYHwfLTQmzyki,Vitwit,Vitwit
5Fuedf79TqB6mMWzhu8aazzfPX1mawedb7rLuHpv6iYK2Z6c,Luganodes,LugaNodes
5FYmwgZPtr6xQfFbMKBm46Wah7d6tah1wum853fVj87R7Q2h,ðŸ€GlobalStake-AvailðŸ€,GlobalStake
5ChHCEt26VDxUjoArWU3x8niG6zZFZ5uS9Aj34hjibQKx5oQ,igris,Refresh
5HKBQSxCGmr53YtGaSksGsp1cBdRb6riQx6cZmmrpaLQkqHB,StakePool,StakePool
